year,universe_size,universe_asof_date,min_months_hist,median_months_hist,max_rank
2010,1000,2009-12-31,13.338809034907598,119.91786447638604,1000
2011,1000,2010-12-31,12.648870636550308,131.90965092402465,1000
2012,1000,2011-12-30,12.484599589322382,143.86858316221765,1000
2013,1000,2012-12-31,12.550308008213552,155.92607802874744,1000
2014,1000,2013-12-31,12.583162217659138,167.91786447638603,1000
2015,1000,2014-12-31,12.616016427104723,179.90965092402465,1000
2016,1000,2015-12-31,12.057494866529774,191.90143737166323,1000
2017,1000,2016-12-30,12.681724845995893,203.89322381930185,1000
2018,1000,2017-12-29,12.484599589322382,215.85215605749485,1000
2019,1000,2018-12-31,14.160164271047227,227.90965092402465,1000
2020,1000,2019-12-31,12.780287474332649,239.90143737166323,1000
2021,1000,2020-12-31,12.648870636550308,251.92607802874744,1000
2022,1000,2021-12-31,12.648870636550308,263.91786447638606,1000
2023,1000,2022-12-30,14.061601642710473,275.87679671457903,1000
2024,1000,2023-12-29,12.451745379876797,287.83572895277206,1000
