year,aum_level,tradable_stock_day_share
2010,1b,0.4901785714285714
2010,250m,0.7218293650793651
2010,50m,0.7557658730158731
2011,1b,0.5538791820602462
2011,250m,0.8161421275481252
2011,50m,0.8483406680185239
2012,1b,0.5478301913207653
2012,250m,0.8188552754211017
2012,50m,0.8501394005576022
2013,1b,0.58869678054278
2013,250m,0.858039119202854
2013,50m,0.8909082972551479
2014,1b,0.6425714285714286
2014,250m,0.9067738095238095
2014,50m,0.9288928571428572
2015,1b,0.6770133096294415
2015,250m,0.9219954126620052
2015,50m,0.9360629846268621
2016,1b,0.6951999619044595
2016,250m,0.9230112937404266
2016,50m,0.9344836070127541
2017,1b,0.7307011952191235
2017,250m,0.9338605577689243
2017,50m,0.9419003984063745
2018,1b,0.7874334160693868
2018,250m,0.9443503758979119
2018,50m,0.9467487918278559
2019,1b,0.7770630369650191
2019,250m,0.9462449651778805
2019,50m,0.948364054842358
2020,1b,0.7895138339920948
2020,250m,0.9390632411067193
2020,50m,0.9411383399209486
2021,1b,0.841452380952381
2021,250m,0.9488611111111112
2021,50m,0.9493849206349206
2022,1b,0.8558759198243818
2022,250m,0.9489559719361431
2022,50m,0.9496452177100307
2023,1b,0.8692201532091925
2023,250m,0.9470368222093326
2023,50m,0.947720863251795
2024,1b,0.9020317460317461
2024,250m,0.9489047619047619
2024,50m,0.949313492063492
