year,borrow_tier,n_rows,share,missing_si_count
2010,A,201549,0.799797619047619,6009
2010,B,37661,0.1494484126984127,6009
2010,C,12790,0.05075396825396825,6009
2011,A,201370,0.7990904725812404,4859
2011,B,37789,0.14995694427358838,4859
2011,C,12840,0.05095258314517121,4859
2012,A,199750,0.799003196012784,4487
2012,B,37500,0.1500006000024,4487
2012,C,12749,0.05099620398481594,4487
2013,A,201368,0.7990825360418097,3659
2013,B,37811,0.15004424620732623,3659
2013,C,12820,0.05087321775086409,3659
2014,A,201348,0.799,3299
2014,B,37800,0.15,3299
2014,C,12852,0.051,3299
2015,A,201348,0.7990063413201692,2684
2015,B,37800,0.15000119048563879,2684
2015,C,12850,0.050992468194192016,2684
2016,A,201348,0.7990063413201692,2669
2016,B,37821,0.15008452448035303,2669
2016,C,12829,0.050909134199477776,2669
2017,A,200556,0.7990278884462151,2485
2017,B,37643,0.14997211155378487,2485
2017,C,12801,0.051,2485
2018,A,200569,0.7990828648719716,2982
2018,B,37653,0.1500125498507962,2982
2018,C,12777,0.05090458527723218,2982
2019,A,201345,0.7990039484910415,1526
2019,B,37800,0.15000297624952877,1526
2019,C,12850,0.05099307525942975,1526
2020,A,202169,0.7990869565217391,1151
2020,B,37939,0.14995652173913043,1151
2020,C,12892,0.050956521739130435,1151
2021,A,201348,0.799,1014
2021,B,37821,0.15008333333333335,1014
2021,C,12831,0.050916666666666666,1014
2022,A,200574,0.7991027852700608,425
2022,B,37625,0.1499009956214965,425
2022,C,12800,0.05099621910844266,425
2023,A,199746,0.7990319419165149,694
2023,B,37500,0.1500090005400324,694
2023,C,12739,0.050959057543452604,694
2024,A,201348,0.799,455
2024,B,37800,0.15,455
2024,C,12852,0.051,455
