year,rows,nonmissing_si_ratio,missing_si_ratio
2010,252000,0.9761547619047619,0.023845238095238096
2011,251999,0.9807181774530851,0.019281822546914868
2012,249999,0.9820519282077128,0.01794807179228717
2013,251999,0.9854801011115123,0.014519898888487653
2014,252000,0.9869087301587302,0.013091269841269841
2015,251998,0.9893491218184272,0.01065087818157287
2016,251998,0.9894086461003658,0.010591353899634124
2017,251000,0.9900996015936255,0.009900398406374501
2018,250999,0.98811947457958,0.011880525420420002
2019,251995,0.9939443242921486,0.006055675707851346
2020,253000,0.9954505928853755,0.004549407114624506
2021,252000,0.9959761904761905,0.004023809523809524
2022,250999,0.998306766162415,0.0016932338375850104
2023,249985,0.9972238334300058,0.0027761665699941995
2024,252000,0.9981944444444445,0.0018055555555555555
