year,universe_asof_date,data_boundary_fallback,total_names_seen,names_with_sufficient_12m_history,top1000_eligible_names,excluded_by_market_cap_or_history_count,excluded_percentage
2010,2009-12-31,False,1117,1102,1000,117,0.10474485228290063
2011,2010-12-31,False,1153,1125,1000,153,0.1326973113616652
2012,2011-12-30,False,1179,1157,1000,179,0.15182357930449533
2013,2012-12-31,False,1218,1188,1000,218,0.17898193760262726
2014,2013-12-31,False,1270,1221,1000,270,0.2125984251968504
2015,2014-12-31,False,1312,1273,1000,312,0.23780487804878048
2016,2015-12-31,False,1359,1315,1000,359,0.26416482707873434
2017,2016-12-30,False,1395,1363,1000,395,0.2831541218637993
2018,2017-12-29,False,1432,1400,1000,432,0.3016759776536313
2019,2018-12-31,False,1465,1432,1000,465,0.3174061433447099
2020,2019-12-31,False,1491,1467,1000,491,0.32930918846411805
2021,2020-12-31,False,1524,1495,1000,524,0.3438320209973753
2022,2021-12-31,False,1562,1524,1000,562,0.35979513444302175
2023,2022-12-30,False,1570,1564,1000,570,0.3630573248407643
2024,2023-12-29,False,1591,1571,1000,591,0.3714644877435575
