year,panel_stock_days,MCAP_FAIL_OR_HISTORY_FAIL,mcap_history_fail_share
2010,293467,41467,0.1413003847110578
2011,299749,47750,0.15929994762284444
2012,304829,54830,0.17987133770080932
2013,317151,65152,0.2054289597068904
2014,329104,77104,0.23428460304341484
2015,339941,87943,0.25870077454617124
2016,348130,96132,0.276138224226582
2017,356595,105595,0.2961202484611394
2018,365459,114460,0.3131951874218449
2019,374289,122294,0.3267368263561045
2020,381763,128763,0.3372851743097157
2021,389845,137845,0.3535892470084264
2022,393589,142590,0.3622814661995127
2023,395330,145345,0.36765487061442337
2024,402865,150865,0.3744802849589813
