signal,period,mean_ic,median_ic,ic_std,ic_t_stat,ic_hit_rate,n_days,avg_names,role
signal_weak_alpha_baseline,train,-0.0235425588100625,-0.0263579025387621,0.17589735314018767,-6.367026194621567,0.41626159964648696,2263,999.9929328621909,baseline_only
signal_weak_alpha_baseline,validation,-0.005642680341714669,-0.021562497316880588,0.27418676341737785,-0.5662222130463334,0.46499339498018494,757,999.9881109643329,baseline_only
signal_weak_alpha_baseline,development_test,0.006568362260941171,0.012201978483085189,0.23457325801627957,0.7678696767420402,0.5199468085106383,752,999.9574468085107,baseline_only
signal_reversal_only,train,0.015380383388646604,0.017667383518354774,0.1461330366631286,5.006809057420846,0.5638532920901458,2263,999.9929328621909,candidate_enhanced
signal_reversal_only,validation,0.0042046132936672,0.0059176559714207745,0.2212659534664082,0.5228286828178074,0.5217965653896962,757,999.9881109643329,candidate_enhanced
signal_reversal_only,development_test,0.00808261580377154,0.0080352468404277,0.2003052242367777,1.1065437245490775,0.5212765957446809,752,999.9574468085107,candidate_enhanced
signal_reversal_liquidity_vol,train,0.014029354821357578,0.015638615061779226,0.1409463518550267,4.735067090260855,0.5563411400795404,2263,999.9929328621909,candidate_enhanced
signal_reversal_liquidity_vol,validation,0.00037738814811556786,0.00033220379722352384,0.21325435486319155,0.04868983335216527,0.5033025099075297,757,999.9881109643329,candidate_enhanced
signal_reversal_liquidity_vol,development_test,0.011875349085060148,0.009445171867732312,0.19205436505575527,1.6956301214549507,0.5279255319148937,752,999.9574468085107,candidate_enhanced
signal_regularised_linear,train,0.03611724902208822,0.03969110063238994,0.1682179632817524,10.213734634200952,0.6252761820592134,2263,999.9929328621909,candidate_enhanced
signal_regularised_linear,validation,0.023198880589693494,0.031047753647908412,0.2366900304390793,2.6967147074575344,0.5640686922060766,757,999.9881109643329,candidate_enhanced
signal_regularised_linear,development_test,-0.006386573989130306,-0.00646089986755439,0.21651550387590712,-0.8088870231570504,0.4800531914893617,752,999.9574468085107,candidate_enhanced
